function,dimension,mu,lambda,strategy,run,best_fitness,generations,function_evals,time,converged
sphere,20,15,100,comma,13,8.500201872253607e-07,133,13315,0.0958409309387207,True
sphere,20,15,100,comma,14,9.691511150518613e-07,146,14615,0.10470986366271973,True
sphere,20,15,100,comma,15,9.407029117486985e-07,144,14415,0.1037440299987793,True
sphere,20,15,100,comma,16,9.688185208492788e-07,139,13915,0.10136795043945312,True
sphere,20,15,100,comma,17,9.960602353835161e-07,135,13515,0.09802818298339844,True
sphere,20,15,100,comma,18,8.49720353877565e-07,141,14115,0.10207986831665039,True
sphere,20,15,100,comma,19,9.781851986881464e-07,138,13815,0.10055875778198242,True
sphere,20,15,100,comma,20,8.711584919793788e-07,144,14415,0.10462594032287598,True
sphere,20,15,100,comma,21,8.366128841385715e-07,135,13515,0.09433126449584961,True
sphere,20,15,100,comma,22,8.788092406626017e-07,143,14315,0.10163593292236328,True
sphere,20,15,100,comma,23,8.835196242311462e-07,137,13715,0.09865880012512207,True
sphere,20,15,100,comma,24,8.788687183404647e-07,134,13415,0.09774398803710938,True
sphere,20,15,100,comma,25,8.390687990694431e-07,134,13415,0.09550023078918457,True
sphere,20,15,100,comma,26,7.850075151122724e-07,138,13815,0.09659600257873535,True
sphere,20,15,100,comma,27,8.06167512693086e-07,138,13815,0.09841275215148926,True
sphere,20,15,100,comma,28,9.662338360275551e-07,149,14915,0.10809969902038574,True
sphere,20,15,100,comma,29,9.429866757850596e-07,139,13915,0.10082888603210449,True
sphere,20,15,100,comma,30,9.302450198493012e-07,133,13315,0.09598898887634277,True
rastrigin,10,20,140,comma,1,9.949585533113833,500,70020,0.5975649356842041,False
rastrigin,10,20,140,comma,2,33.82853228300945,500,70020,0.6008052825927734,False
rastrigin,10,20,140,comma,3,42.78307275145609,500,70020,0.5873870849609375,False
rastrigin,10,20,140,comma,4,28.853742035362075,500,70020,0.6014249324798584,False
rastrigin,10,20,140,comma,5,47.75785796128439,500,70020,0.6213982105255127,False
rastrigin,10,20,140,comma,6,15.919329800035428,500,70020,0.5974900722503662,False
rastrigin,10,20,140,comma,7,39.79809367748435,500,70020,0.6244480609893799,False
rastrigin,10,20,140,comma,8,34.823491340102734,500,70020,0.6225159168243408,False
rastrigin,10,20,140,comma,9,36.813343643429874,500,70020,0.6205868721008301,False
rastrigin,10,20,140,comma,10,20.894120047682804,500,70020,0.6039798259735107,False
rastrigin,10,20,140,comma,11,48.752756245337316,500,70020,0.6072828769683838,False
rastrigin,10,20,140,comma,12,33.82853228300945,500,70020,0.6076390743255615,False
rastrigin,10,20,140,comma,13,17.909227717507548,500,70020,0.6123929023742676,False
rastrigin,10,20,140,comma,14,17.909247914221993,500,70020,0.5825259685516357,False
rastrigin,10,20,140,comma,15,59.697331336232196,500,70020,0.5946390628814697,False
rastrigin,10,20,140,comma,16,44.77294525149769,500,70020,0.5901901721954346,False
rastrigin,10,20,140,comma,17,42.78313352449645,500,70020,0.5962328910827637,False
